Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
7,99.0,Yes,,1,91.0
4,82.0,No,4.0,2,65.0
8,51.0,Yes,7.0,109,45.0
5,52.0,Yes,5.0,2,36.0
7,75.0,No,8.0,5,66.0
3,78.0,No,9.0,6,61.0
7,73.0,Yes,5.0,6,63.0
8,45.0,Yes,,6,42.0
5,77.0,No,8.0,2,61.0
4,89.0,No,4.0,0,69.0
8,,No,,5,84.0
8,79.0,No,6.0,2,73.0
3,,No,9.0,2,27.0
6,47.0,No,4.0,109,33.0
5,79.0,No,7.0,8,68.0
2,72.0,No,,3,43.0
8,73.0,Yes,8.0,4,67.0
6,83.0,Yes,7.0,2,70.0
2,54.0,Yes,4.0,9,30.0
5,75.0,No,,0,63.0
1,99.0,Yes,4.0,3,71.0
6,96.0,No,9.0,0,85.0
9,,Yes,7.0,6,73.0
1,,No,5.0,109,57.0
3,,No,6.0,3,35.0
7,,Yes,7.0,4,49.0
4,79.0,No,8.0,9,66.0
9,84.0,Yes,6.0,6,83.0
3,94.0,Yes,6.0,5,74.0
5,90.0,Yes,4.0,3,74.0
3,61.0,Yes,7.0,3,39.0
7,44.0,Yes,9.0,1,36.0
5,70.0,Yes,6.0,9,58.0
9,52.0,Yes,8.0,1,47.0
7,67.0,Yes,9.0,3,60.0
2,97.0,Yes,9.0,4,74.0
4,59.0,No,8.0,3,42.0
9,,No,8.0,2,68.0
2,55.0,Yes,4.0,1,32.0
9,68.0,No,,3,64.0
5,62.0,No,7.0,4,45.0
2,,Yes,6.0,0,39.0
4,73.0,Yes,7.0,0,58.0
7,46.0,No,9.0,5,36.0
8,77.0,Yes,6.0,4,71.0
3,76.0,Yes,4.0,3,54.0
1,,Yes,7.0,0,17.0
4,73.0,No,4.0,6,54.0
2,81.0,Yes,4.0,109,58.0
8,61.0,No,7.0,2,53.0
4,44.0,Yes,7.0,6,27.0
2,89.0,Yes,,1,65.0
6,81.0,No,9.0,9,75.0
6,62.0,Yes,9.0,0,52.0
4,,No,8.0,3,78.0
6,99.0,No,,7,91.0
2,54.0,Yes,9.0,5,33.0
2,70.0,Yes,5.0,109,47.0
4,98.0,No,6.0,0,78.0
8,48.0,No,6.0,0,38.0
7,82.0,Yes,8.0,4,70.0
9,,Yes,8.0,209,98.0
8,92.0,Yes,4.0,7,87.0
5,64.0,Yes,6.0,2,49.0
2,64.0,Yes,6.0,209,41.0
5,88.0,No,5.0,109,71.0
8,60.0,No,4.0,7,54.0
9,48.0,No,4.0,3,42.0
9,94.0,No,9.0,1,91.0
1,87.0,Yes,8.0,109,61.0
9,,No,9.0,9,74.0
7,61.0,Yes,4.0,7,54.0
9,82.0,Yes,5.0,5,81.0
8,62.0,Yes,,109,52.0
1,88.0,Yes,9.0,1,65.0
8,43.0,Yes,7.0,3,36.0
8,68.0,No,7.0,3,61.0
3,54.0,Yes,5.0,0,35.0
1,40.0,Yes,8.0,8,15.0
8,93.0,Yes,6.0,9,88.0
3,69.0,No,4.0,7,45.0
3,68.0,Yes,9.0,6,49.0
1,,Yes,8.0,5,33.0
5,72.0,Yes,9.0,2,60.0
7,80.0,No,8.0,109,71.0
9,83.0,Yes,4.0,1,81.0
7,75.0,No,6.0,6,67.0
9,99.0,No,4.0,1,95.0
8,61.0,Yes,6.0,9,58.0
2,52.0,No,9.0,0,29.0
1,46.0,No,5.0,5,21.0
7,47.0,Yes,6.0,3,38.0
7,67.0,Yes,8.0,7,60.0
8,84.0,Yes,5.0,0,76.0
5,,Yes,,8,69.0
3,,No,,5,30.0
8,64.0,No,5.0,209,57.0
6,95.0,Yes,6.0,7,81.0
3,55.0,Yes,5.0,4,36.0
1,49.0,Yes,9.0,4,25.0
3,50.0,No,5.0,109,27.0
5,70.0,Yes,9.0,6,61.0
3,51.0,No,7.0,6,34.0
1,99.0,No,6.0,9,76.0
5,70.0,No,8.0,6,57.0
7,53.0,No,5.0,9,45.0
7,90.0,Yes,4.0,1,76.0
9,83.0,Yes,8.0,7,83.0
3,71.0,Yes,5.0,0,50.0
7,89.0,No,8.0,1,81.0
1,92.0,No,4.0,6,66.0
4,56.0,Yes,8.0,209,38.0
4,74.0,No,,9,56.0
5,40.0,No,4.0,9,25.0
7,68.0,No,4.0,8,56.0
7,90.0,Yes,4.0,8,82.0
4,43.0,Yes,7.0,2,23.0
7,62.0,Yes,,109,56.0
3,67.0,No,9.0,8,46.0
6,55.0,Yes,4.0,9,43.0
2,51.0,Yes,9.0,7,30.0
9,92.0,Yes,,0,92.0
5,,No,4.0,5,45.0
6,84.0,No,5.0,6,70.0
4,56.0,No,,7,36.0
7,79.0,No,4.0,1,71.0
9,52.0,No,9.0,0,49.0
7,91.0,Yes,6.0,3,82.0
1,97.0,Yes,8.0,0,71.0
1,,No,9.0,1,43.0
9,76.0,No,8.0,2,77.0
9,89.0,Yes,5.0,3,86.0
4,54.0,No,7.0,5,34.0
9,,No,6.0,7,49.0
3,88.0,No,5.0,8,69.0
7,96.0,No,,3,84.0
6,54.0,No,8.0,0,41.0
8,73.0,Yes,,4,68.0
9,45.0,Yes,,4,44.0
5,56.0,No,,8,41.0
1,,No,8.0,5,58.0
3,88.0,Yes,4.0,4,68.0
8,96.0,No,,9,94.0
6,59.0,Yes,4.0,9,47.0
8,48.0,No,5.0,4,40.0
9,98.0,Yes,7.0,7,100.0
4,44.0,Yes,,0,23.0
1,62.0,No,4.0,209,36.0
1,72.0,No,7.0,0,47.0
4,77.0,Yes,8.0,6,60.0
7,95.0,No,,6,83.0
2,53.0,Yes,,9,33.0
3,56.0,No,5.0,7,36.0
1,96.0,No,8.0,6,74.0
5,,No,4.0,8,42.0
1,72.0,Yes,5.0,7,47.0
8,40.0,Yes,7.0,209,31.0
1,,No,5.0,109,26.0
1,85.0,Yes,7.0,9,58.0
2,66.0,No,6.0,3,42.0
2,45.0,Yes,4.0,3,18.0
6,98.0,No,4.0,209,85.0
7,45.0,Yes,7.0,5,36.0
5,72.0,Yes,8.0,1,58.0
1,69.0,Yes,9.0,8,45.0
1,85.0,Yes,8.0,0,60.0
3,74.0,Yes,6.0,0,56.0
2,62.0,Yes,7.0,9,42.0
5,49.0,No,6.0,5,33.0
6,,No,7.0,0,77.0
7,58.0,Yes,6.0,2,51.0
4,90.0,No,7.0,9,72.0
7,67.0,Yes,4.0,1,57.0
8,62.0,No,6.0,8,53.0
1,43.0,No,6.0,4,16.0
6,59.0,No,7.0,5,45.0
8,58.0,No,5.0,1,49.0
5,81.0,Yes,5.0,7,67.0
4,66.0,No,4.0,5,49.0
2,96.0,No,8.0,209,73.0
6,73.0,No,,7,65.0
6,43.0,Yes,4.0,0,27.0
1,,No,8.0,6,72.0
9,,Yes,9.0,1,74.0
6,46.0,Yes,9.0,7,38.0
3,87.0,No,9.0,1,67.0
4,,Yes,9.0,109,28.0
4,89.0,No,,1,73.0
3,91.0,No,5.0,6,72.0
3,65.0,No,4.0,4,42.0
3,65.0,No,7.0,8,47.0
4,,No,9.0,4,77.0
7,58.0,No,,7,49.0
4,48.0,No,,1,30.0
9,59.0,Yes,8.0,2,54.0
1,81.0,Yes,,5,56.0
8,84.0,No,5.0,6,75.0
7,89.0,No,4.0,209,78.0
2,55.0,Yes,6.0,7,32.0
8,93.0,No,7.0,2,89.0
1,56.0,Yes,4.0,6,29.0
9,61.0,Yes,4.0,7,57.0
9,52.0,No,5.0,9,48.0
2,,No,4.0,5,27.0
7,49.0,Yes,7.0,3,38.0
3,40.0,Yes,9.0,5,18.0
